ID,SKU,Nombre,"Precio rebajado","Precio normal",Categorías,Etiquetas
2242,7389D510SG,"BALATA DISCO DELANTERA TSURU LUSAC",,227,"Automotriz, Automotriz > Frenos","BALATA, FRENOS, LUSAC"
2316,LC93356,"CILINDRO RUEDA TRASERA LUSAC",,115,"Automotriz, Automotriz > Frenos","CILINDRO, FRENO, LUSAC"
2343,8310D1191SG,"BALATA DISCO DELANTERA URVAN LUSAC",,372,"Automotriz, Automotriz > Frenos","BALATA, DELANTERA, FRENO, LUSAC"
2363,LC079768,"CILINDRO RUEDA TRASERA LUSAC",,118,"Automotriz, Automotriz > Frenos","CILINDRO, FRENO, LUSAC, RUEDA"
3906,LC101,"GOMA RUEDA FRENO LUSAC",,51,"Automotriz, Automotriz > Frenos","FRENO, GOMA, LUSAC, RUEDA, SEDAN"
3942,LC90549,"CILINDRO RUEDA DELANTERA LUSAC",,120,"Automotriz, Automotriz > Frenos","CILINDRO, DELANTERA, DERECHO, IZQUIERDO, LUSAC. VW, RUEDA"
3979,LC57188,"PURGADOR 5/16 X 1"" LUSAC",,84,"Automotriz, Automotriz > Frenos","CHEVROLET, LUSAC, PURGADOR"
3992,LC121,"GOMA RUEDA FRENO LUSAC",,45,"Automotriz, Automotriz > Frenos","FRENO, GOMA, LUSAC, RUEDA, Toyota"
4002,LC4511R,"GOMA RUEDA FRENO LUSAC",,50,"Automotriz, Automotriz > Frenos","FRENO, GOMA, LUSAC, RUEDA, Toyota"
4010,LC6858,"PURGADOR 3/8 X 1""3/16 LUSAC",,97,"Automotriz, Automotriz > Frenos","FORD, LUSAC, PURGADOR"
4031,LC114197,"CILINDRO RUEDA TRASERA LUSAC",,123,"Automotriz, Automotriz > Frenos","CILINDRO, DERECHA, IZQUIERDA, LUSAC, RUEDA, TRASERA, Tsuru"
4033,LC21075,"REPUESTO FRENO DISCO LUSAC",,57,"Automotriz, Automotriz > Frenos","DISCO, FRENO, HIACE, LUSAC, REPUESTO, Toyota"
4045,LC113,"CUBRE POLVO LUSAC",,64,"Automotriz, Automotriz > Frenos","CUBRE POLVO, LUSAC, SEDAN"
4090,LC611,"GOMA RUEDA FRENO LUSAC",,51,"Automotriz, Automotriz > Frenos","FRENO, GOMA, LUSAC, RUEDA"
4096,LC90547,"BOMBA FRENO LUSAC",,398,"Automotriz, Automotriz > Frenos","BOMBA, CILINDRO, FRENO, LUSAC, MAESTRO, SEDAN, VW"
4116,LC4518R,"GOMA RUEDA FRENO LUSAC",,64,"Automotriz, Automotriz > Frenos","FRENO, GOMA, LUSAC, RUEDA"
4130,LC6446,"PURGADOR 1/4 X 15/16 LUSAC",,72,"Automotriz, Automotriz > Frenos","LUSAC, PURGADOR"
4154,LC2936,"GOMA ESTRIADA LUSAC",,46,"Automotriz, Automotriz > Frenos","ESTRIADA, GOMA, LUSAC"
4166,LC641,"REPUESTO FRENO DISCO LUSAC",,36,"Automotriz, Automotriz > Frenos","DISCO, FRENO, LUSAC, NISSAN, REPUESTO"
4170,LC6027,"MANGUERA FRENOS LUSAC",,77,"Automotriz, Automotriz > Frenos","DELANTERA, FRENOS, LUSAC, MANGUERA, VW"
4186,LC102443,"REPUESTO FRENO DISCO LUSAC",,48,"Automotriz, Automotriz > Frenos","DISCO, FRENO, LUSAC, POINTER, REPUESTO"
4335,LC47567R,"GOMA RUEDA LUSAC",,32,"Automotriz, Automotriz > Frenos","FRENO, GOMA, LUSAC, RUEDA"
4343,LC6600,"CILINDRO ESCLAVO LUSAC",,379,"Automotriz, Automotriz > Frenos","CILINDRO, Clutch, ESCLAVO, LUSAC, NISSAN"
4348,LC96399,"CILINDRO RUEDA LUSAC",,155,"Automotriz, Automotriz > Frenos","CILINDRO, DERECHO, IZQUIERDO, LUSAC, RUEDA, TRASERA"
